Statistical Division or Subdivision,LGA,Offence category,Subcategory,Jan 1995,Feb 1995,Mar 1995,Apr 1995,May 1995,Jun 1995,Jul 1995,Aug 1995,Sep 1995,Oct 1995,Nov 1995,Dec 1995
Inner Sydney,Botany Bay,Homicide,Murder (a),0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Homicide,Attempted murder,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Homicide,"Murder accessory, conspiracy",0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Homicide,Manslaughter (a),0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Assault,Domestic violence related assault,3,7,5,1,3,4,8,8,2,8,6,10
Inner Sydney,Botany Bay,Assault,Non-domestic violence related assault,16,15,14,13,11,11,15,13,19,18,21,16
Inner Sydney,Botany Bay,Assault,Assault Police,0,2,1,1,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Sexual offences,Sexual assault,1,1,2,8,0,0,1,0,0,1,2,0
Inner Sydney,Botany Bay,Sexual offences,"Indecent assault, act of indecency and other sexual offences",1,2,8,9,0,1,8,5,1,0,1,1
Inner Sydney,Botany Bay,Abduction and kidnapping,,0,2,0,1,1,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Robbery,Robbery without a weapon,0,4,1,2,1,1,3,1,2,3,4,1
Inner Sydney,Botany Bay,Robbery,Robbery with a firearm,0,0,1,0,1,0,0,1,2,0,0,0
Inner Sydney,Botany Bay,Robbery,Robbery with a weapon not a firearm,0,1,2,1,1,1,2,3,0,0,2,3
Inner Sydney,Botany Bay,Blackmail and extortion,,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,"Harassment, threatening behaviour and private nuisance",,2,2,5,9,5,10,7,2,8,9,5,5
Inner Sydney,Botany Bay,Other offences against the person,,0,0,3,1,1,0,4,1,0,0,0,0
Inner Sydney,Botany Bay,Theft,Break and enter dwelling,25,14,26,33,31,21,21,22,39,30,22,23
Inner Sydney,Botany Bay,Theft,Break and enter non-dwelling,22,20,27,19,15,17,29,19,19,32,25,33
Inner Sydney,Botany Bay,Theft,Receiving or handling stolen goods,4,3,3,6,2,5,5,8,1,10,0,3
Inner Sydney,Botany Bay,Theft,Motor vehicle theft,34,52,65,53,62,58,39,53,55,62,63,63
Inner Sydney,Botany Bay,Theft,Steal from motor vehicle,38,33,20,31,33,50,42,33,26,44,46,35
Inner Sydney,Botany Bay,Theft,Steal from retail store,13,11,22,26,25,25,26,20,33,28,27,24
Inner Sydney,Botany Bay,Theft,Steal from dwelling,10,8,10,8,10,14,7,10,6,8,8,12
Inner Sydney,Botany Bay,Theft,Steal from person,6,7,11,11,7,7,14,6,14,8,9,13
Inner Sydney,Botany Bay,Theft,Stock theft,0,1,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Theft,Fraud,23,13,9,8,11,9,15,14,37,8,10,9
Inner Sydney,Botany Bay,Theft,Other theft,37,27,38,36,41,51,29,42,31,39,40,39
Inner Sydney,Botany Bay,Arson,,0,1,0,2,1,1,0,1,0,3,1,2
Inner Sydney,Botany Bay,Malicious damage to property,,52,32,43,39,40,57,48,28,38,38,37,51
Inner Sydney,Botany Bay,Drug offences,Possession and/or use of cocaine,0,0,0,0,1,0,1,0,0,0,0,0
Inner Sydney,Botany Bay,Drug offences,Possession and/or use of narcotics,1,1,0,2,0,0,0,1,1,0,0,0
Inner Sydney,Botany Bay,Drug offences,Possession and/or use of cannabis,7,9,4,2,5,3,4,5,3,1,3,1
Inner Sydney,Botany Bay,Drug offences,Possession and/or use of amphetamines,2,1,1,0,0,5,1,0,0,0,0,0
Inner Sydney,Botany Bay,Drug offences,Possession and/or use of ecstasy,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Drug offences,Possession and/or use of other drugs,0,0,0,0,0,0,1,0,0,0,0,0
Inner Sydney,Botany Bay,Drug offences,"Dealing, trafficking in cocaine",0,0,0,0,2,0,1,0,0,0,0,0
Inner Sydney,Botany Bay,Drug offences,"Dealing, trafficking in narcotics",0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Drug offences,"Dealing, trafficking in cannabis",1,1,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Drug offences,"Dealing, trafficking in amphetamines",1,0,0,0,0,0,0,0,1,0,0,0
Inner Sydney,Botany Bay,Drug offences,"Dealing, trafficking in ecstasy",0,0,0,0,0,0,0,0,0,0,0,0
